,0
0,1.7640523459676631
1,-0.8740739752787228
2,-0.3287189981138652
3,1.2508580258229114
4,1.7712098914521728
5,-0.5542701986479608
6,0.41760769881276927
7,-0.3609592197747089
8,-0.6353247590865931
9,-0.31656638516477886
10,-0.4762205059523592
11,0.7722669229220824
12,0.6940215186647287
13,0.1712474439543441
14,0.30365377902322566
15,0.24357974947861294
16,1.3955513631837673
17,0.2836177678228644
18,0.4036502948333074
19,-0.7562189413325282
20,-3.030256756751685
21,-1.0959187405051838
22,-0.2627424419532711
23,-1.3854510091872165
24,1.1830526532254
25,-1.3417915544578207
26,-0.8192409220767427
27,-0.9652784540192605
28,0.6786509597386856
29,1.4174356548121265
30,0.6705055583914996
31,0.7137300112589402
32,-0.5118016294607022
33,-2.1810106291225364
34,-1.5028236615709556
35,-0.9149189492079909
36,0.41271094898250693
37,1.0909035647902332
38,0.022270059531746433
39,-0.24939430930836215
40,-1.162373149020212
41,-2.0198863495653105
42,-2.8531688721521387
43,0.22778347207067506
44,-0.8767526112672408
45,-1.0719200649194156
46,-1.9922818506986195
47,-0.437395666662843
48,-2.166884967800736
49,-1.4890692734334408
50,-1.980836441030792
51,-0.923685321703673
52,-1.34639960839027
53,-2.11977112452971
54,-1.3531993411993073
55,-0.6011418838971867
56,-0.5289193033367282
57,-0.1341021759982408
58,-0.7973465178866728
59,-0.7575411292180054
60,-1.067287294439827
61,-0.8989009177744482
62,-1.2925612126342163
63,-2.3851567710710717
64,-1.0625925493287203
65,-1.1277493685176898
66,-2.2932274972467273
67,-0.748116671798926
68,-1.4679785064388395
69,-0.7299123803032748
70,0.2933552195040381
71,0.2952993358284599
72,1.4847642731499626
73,-0.19525741826165244
74,0.8185106383722094
75,0.15410639584198882
76,-0.25423762010455886
77,-0.18410046345705
78,0.07431577288083213
79,0.5681262528839668
80,-0.36989308283767075
81,1.3126503349025458
82,1.65198590823346
83,0.00822414206355937
84,2.3514097616647875
85,3.811692010146678
86,4.077138192276655
87,3.1645986208019625
88,2.028575635085449
89,3.6097820633395252
90,2.8453027770986163
91,4.2594879990045245
92,3.9517437518317635
93,4.762409944663084
94,4.6203534506492625
95,5.059852268689671
96,4.66506817250059
97,6.362049000042893
98,5.582140563402848
99,5.7162127954466255
100,7.307921613090763
101,4.939093081934171
102,4.084202438072614
103,5.745033682089941
104,4.279148130622847
105,6.80235889869347
106,5.592207574235996
107,4.922931936795271
108,7.243015715474415
109,7.8887415710799935
110,8.863231072433589
111,8.605221693921436
112,6.959295567380622
113,9.02593979665691
114,7.765391013646482
115,8.431865997237058
116,8.874914095448272
117,8.082668715718317
118,8.567291335922825
119,9.089340031057205
120,8.868107383162208
121,7.388159431842478
122,8.082882520384988
123,9.30660934342784
124,7.920302874173559
125,7.935155669501382
126,7.568223589171108
127,9.639483106387805
128,9.439326833157818
129,9.304465896983828
130,8.147208169573958
131,8.918413634464082
132,7.978658876458582
133,8.26523856835619
134,7.647654058774521
135,8.644260399656753
136,8.958731189606803
137,8.412047365566831
138,8.816736921987586
139,7.5003859622999
140,6.484726771212492
141,7.763640526652633
142,7.934090235755555
143,8.541478151465872
144,10.625106031531452
145,10.31445916854587
146,8.60291614706679
147,9.891401883979617
148,7.964942030497072
149,7.964026306070885
150,8.169805208629716
151,9.968050746664266
152,8.383838134703163
153,7.7132237779525825
154,8.002858989842503
155,7.45568014420145
156,8.941521323158739
157,7.384171114726883
158,6.669256226023245
159,6.881547696861197
160,6.769568660274377
161,9.079010427358998
162,9.1927505027492
163,8.632701423503217
164,7.163848197919684
165,8.498105354875927
166,7.145359827436588
167,6.006778050624313
168,8.032548116121744
169,7.962967418951854
170,8.66978266845745
